,Bot-Hole Lat,Bot-Hole Lon,geometry,SAP,savUni,savUniform
3228,55.66618,-119.71021,POINT (-119.71021 55.66618),0.2112012356519699,0.8498775353388128,0.6610745668178993
3229,55.66624,-119.7181,POINT (-119.7181 55.66624),0.2135583460330963,0.4071730231540841,0.02723306496140976
3230,55.66619,-119.72648,POINT (-119.72648 55.66619),0.21621008217334747,0.7899485363797071,0.961359007745532
3231,55.6688,-119.70907,POINT (-119.70907 55.6688),0.2142970710992813,0.931731683561305,0.3971413751807421
3232,55.67184,-119.70877,POINT (-119.70877 55.67184),0.21768754720687866,0.5253980005798778,0.02834756437441399
3233,55.67508,-119.70873,POINT (-119.70873 55.67508),0.2210780382156372,0.853449735469269,0.4941921778374706
3234,55.67829,-119.70876,POINT (-119.70876 55.67829),0.22446851432323456,0.9691546821791475,0.19083102321619017
3235,55.6661,-119.7345,POINT (-119.7345 55.6661),0.21856719255447388,0.9327446467867951,0.7609930303810873
3236,55.68253000000001,-119.81467,POINT (-119.81467 55.68253000000001),0.2591455578804016,0.012692357350406969,0.0686711134999205
3237,55.69341,-119.7803,POINT (-119.7803 55.69341),0.26211556792259216,0.3791868131554691,0.8761914213159823
3238,55.69305,-119.77948,POINT (-119.77948 55.69305),0.26211556792259216,0.8573806495950579,0.6355092502016197
3239,55.69153000000001,-119.78408,POINT (-119.78408 55.69153000000001),0.2611178457736969,0.8874725236277619,0.4687815572005497
3240,55.68096,-119.73206,POINT (-119.73206 55.68096),0.23564603924751282,0.5400654264127599,0.8640120388885563
3241,55.7037,-119.75577,POINT (-119.75577 55.7037),0.26667898893356323,0.7303238189060606,0.8855033096362602
3242,55.70687,-119.75589,POINT (-119.75589 55.70687),0.26974600553512573,0.3297969327608853,0.14634474052008506
3243,55.69533000000001,-119.77678,POINT (-119.77678 55.69533000000001),0.26332494616508484,0.8784684296465091,0.07942576680114499
3244,55.69572,-119.77806,POINT (-119.77806 55.69572),0.2646257281303406,0.3092883844045857,0.5867875690435381
3245,55.70804,-119.78386,POINT (-119.78386 55.70804),0.2785116732120514,0.8365813028441789,0.9260881685709699
3246,55.70856,-119.76136,POINT (-119.76136 55.70856),0.27216050028800964,0.006369266603652002,0.940375029619402
3247,55.7023,-119.78482,POINT (-119.78482 55.7023),0.2726358473300934,0.26980123232474484,0.36644908560155776
3248,55.70776,-119.85667,POINT (-119.85667 55.70776),0.29637131094932556,0.7087183766152124,0.4972453361240359
